id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
39,Irelia,47.92,47.87,50.0,48.05,43.48,100.0,1339.0,641.0,2.0,1.0,947.0,455.0,23.0,10.0,1.0,1.0,2312.0,1108.0
40,Janna,53.12,78.57,0.0,60.0,0.0,52.99,14.0,11.0,0.0,0.0,5.0,3.0,2.0,0.0,2240.0,1187.0,2261.0,1201.0
41,Gangplank,46.65,46.47,0.0,47.72,33.33,100.0,2791.0,1297.0,0.0,0.0,394.0,188.0,3.0,1.0,2.0,2.0,3190.0,1488.0
42,Corki,47.89,40.43,0.0,48.02,66.67,0.0,47.0,19.0,1.0,0.0,1766.0,848.0,9.0,6.0,0.0,0.0,1823.0,873.0
43,Karma,48.13,48.98,0.0,48.88,47.06,48.04,147.0,72.0,1.0,0.0,356.0,174.0,51.0,24.0,3143.0,1510.0,3698.0,1780.0
44,Taric,54.62,68.24,52.0,64.29,50.0,52.39,85.0,58.0,50.0,26.0,28.0,18.0,8.0,4.0,565.0,296.0,736.0,402.0
45,Veigar,49.74,54.76,0.0,49.91,50.32,36.84,42.0,23.0,0.0,0.0,1589.0,793.0,467.0,235.0,57.0,21.0,2155.0,1072.0
48,Trundle,50.9,49.52,51.85,40.0,66.67,35.48,210.0,104.0,810.0,420.0,5.0,2.0,3.0,2.0,31.0,11.0,1059.0,539.0
50,Swain,49.98,52.06,0.0,52.24,47.59,45.33,315.0,164.0,0.0,0.0,1139.0,595.0,395.0,188.0,492.0,223.0,2341.0,1170.0
51,Caitlyn,48.51,50.0,100.0,38.1,48.61,0.0,2.0,1.0,1.0,1.0,21.0,8.0,1619.0,787.0,0.0,0.0,1643.0,797.0
53,Blitzcrank,50.22,100.0,50.0,33.33,0.0,50.22,1.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1342.0,674.0,1348.0,677.0
54,Malphite,50.05,50.41,18.18,50.0,0.0,54.17,849.0,428.0,11.0,2.0,72.0,36.0,1.0,0.0,24.0,13.0,957.0,479.0
55,Katarina,51.07,53.57,25.0,51.15,44.0,50.0,56.0,30.0,4.0,1.0,1779.0,910.0,25.0,11.0,2.0,1.0,1866.0,953.0
56,Nocturne,48.28,44.44,48.46,44.44,0.0,0.0,18.0,8.0,553.0,268.0,9.0,4.0,0.0,0.0,0.0,0.0,580.0,280.0
57,Maokai,55.47,61.4,44.44,50.0,50.0,54.88,57.0,35.0,9.0,4.0,2.0,1.0,10.0,5.0,297.0,163.0,375.0,208.0
58,Renekton,45.61,46.0,0.0,44.3,0.0,0.0,876.0,403.0,1.0,0.0,158.0,70.0,2.0,0.0,0.0,0.0,1037.0,473.0
59,Jarvan IV,48.22,41.94,48.94,41.67,75.0,30.43,31.0,13.0,803.0,393.0,12.0,5.0,4.0,3.0,23.0,7.0,873.0,421.0
60,Elise,46.15,0.0,45.35,100.0,0.0,50.0,1.0,0.0,258.0,117.0,3.0,3.0,0.0,0.0,24.0,12.0,286.0,132.0
61,Orianna,48.53,0.0,0.0,48.32,42.86,81.82,2.0,0.0,1.0,0.0,863.0,417.0,7.0,3.0,11.0,9.0,884.0,429.0
62,Wukong,52.36,53.61,52.26,42.55,63.16,0.0,610.0,327.0,3025.0,1581.0,47.0,20.0,19.0,12.0,4.0,0.0,3705.0,1940.0
63,Brand,47.69,25.0,66.67,54.63,41.51,46.62,4.0,1.0,6.0,4.0,108.0,59.0,53.0,22.0,414.0,193.0,585.0,279.0
64,Lee Sin,46.88,53.33,46.6,53.33,55.56,64.71,30.0,16.0,3399.0,1584.0,45.0,24.0,18.0,10.0,17.0,11.0,3509.0,1645.0
67,Vayne,54.76,55.69,0.0,59.62,54.48,100.0,422.0,235.0,1.0,0.0,52.0,31.0,2221.0,1210.0,1.0,1.0,2697.0,1477.0
68,Rumble,46.76,47.38,44.83,44.84,100.0,56.0,420.0,199.0,58.0,26.0,310.0,139.0,4.0,4.0,25.0,14.0,817.0,382.0
69,Cassiopeia,52.86,57.31,0.0,51.55,53.57,100.0,171.0,98.0,0.0,0.0,677.0,349.0,112.0,60.0,1.0,1.0,961.0,508.0
72,Skarner,48.55,51.24,47.03,66.67,0.0,0.0,121.0,62.0,185.0,87.0,3.0,2.0,0.0,0.0,2.0,0.0,311.0,151.0
74,Heimerdinger,46.78,50.31,100.0,45.27,48.92,38.67,159.0,80.0,1.0,1.0,201.0,91.0,139.0,68.0,75.0,29.0,575.0,269.0
75,Nasus,49.84,50.32,44.44,50.54,57.14,38.89,467.0,235.0,27.0,12.0,93.0,47.0,7.0,4.0,18.0,7.0,612.0,305.0
76,Nidalee,46.8,53.66,46.43,60.0,0.0,63.64,41.0,22.0,1318.0,612.0,5.0,3.0,1.0,0.0,11.0,7.0,1376.0,644.0
77,Udyr,51.17,44.44,51.3,33.33,0.0,0.0,9.0,4.0,887.0,455.0,3.0,1.0,0.0,0.0,0.0,0.0,899.0,460.0
78,Poppy,49.17,51.23,48.21,57.14,33.33,39.62,486.0,249.0,585.0,282.0,14.0,8.0,3.0,1.0,53.0,21.0,1141.0,561.0
79,Gragas,49.37,48.11,50.47,53.94,28.57,49.69,1538.0,740.0,426.0,215.0,343.0,185.0,7.0,2.0,161.0,80.0,2475.0,1222.0
