champion1,id1,champion2,id2,combo
Twisted Fate,4,Kayle,10,0
Twisted Fate,4,Master Yi,11,0
Twisted Fate,4,Alistar,12,0
Twisted Fate,4,Ryze,13,0
Twisted Fate,4,Sion,14,0
Twisted Fate,4,Sivir,15,0
Twisted Fate,4,Soraka,16,0
Twisted Fate,4,Teemo,17,0
Twisted Fate,4,Tristana,18,0
Twisted Fate,4,Warwick,19,0
Twisted Fate,4,Nunu & Willump,20,0
Twisted Fate,4,Miss Fortune,21,0
Twisted Fate,4,Ashe,22,0
Twisted Fate,4,Tryndamere,23,0
Twisted Fate,4,Jax,24,0
Twisted Fate,4,Morgana,25,0
Twisted Fate,4,Zilean,26,0
Twisted Fate,4,Singed,27,0
Twisted Fate,4,Evelynn,28,0
Twisted Fate,4,Twitch,29,0
Twisted Fate,4,Karthus,30,0
Twisted Fate,4,Cho'Gath,31,0
Twisted Fate,4,Amumu,32,0
Twisted Fate,4,Rammus,33,0
Twisted Fate,4,Anivia,34,0
Twisted Fate,4,Shaco,35,0
Twisted Fate,4,Dr. Mundo,36,0
Twisted Fate,4,Sona,37,0
Twisted Fate,4,Kassadin,38,0
Twisted Fate,4,Irelia,39,0
Twisted Fate,4,Janna,40,0
Twisted Fate,4,Gangplank,41,0
Twisted Fate,4,Corki,42,0
Twisted Fate,4,Karma,43,0
Twisted Fate,4,Taric,44,0
Twisted Fate,4,Veigar,45,0
Twisted Fate,4,Trundle,48,0
Twisted Fate,4,Swain,50,0
Twisted Fate,4,Caitlyn,51,0
Twisted Fate,4,Blitzcrank,53,0
Twisted Fate,4,Malphite,54,0
Twisted Fate,4,Katarina,55,0
Twisted Fate,4,Nocturne,56,0
Twisted Fate,4,Maokai,57,0
Twisted Fate,4,Renekton,58,0
Twisted Fate,4,Jarvan IV,59,0
Twisted Fate,4,Elise,60,0
Twisted Fate,4,Orianna,61,0
Twisted Fate,4,Wukong,62,0
Twisted Fate,4,Brand,63,0
Twisted Fate,4,Lee Sin,64,0
Twisted Fate,4,Vayne,67,0
Twisted Fate,4,Rumble,68,0
Twisted Fate,4,Cassiopeia,69,0
Twisted Fate,4,Skarner,72,0
Twisted Fate,4,Heimerdinger,74,0
Twisted Fate,4,Nasus,75,0
Twisted Fate,4,Nidalee,76,0
Twisted Fate,4,Udyr,77,0
Twisted Fate,4,Poppy,78,0
Twisted Fate,4,Gragas,79,0
Twisted Fate,4,Pantheon,80,0
Twisted Fate,4,Ezreal,81,0
Twisted Fate,4,Mordekaiser,82,0
Twisted Fate,4,Yorick,83,0
Twisted Fate,4,Akali,84,0
Twisted Fate,4,Kennen,85,0
Twisted Fate,4,Garen,86,0
Twisted Fate,4,Leona,89,0
Twisted Fate,4,Malzahar,90,0
Twisted Fate,4,Talon,91,0
Twisted Fate,4,Riven,92,0
Twisted Fate,4,Kog'Maw,96,0
Twisted Fate,4,Shen,98,0
Twisted Fate,4,Lux,99,0
Twisted Fate,4,Xerath,101,0
Twisted Fate,4,Shyvana,102,0
Twisted Fate,4,Ahri,103,0
Twisted Fate,4,Graves,104,0
Twisted Fate,4,Fizz,105,0
Twisted Fate,4,Volibear,106,0
Twisted Fate,4,Rengar,107,0
Twisted Fate,4,Varus,110,0
Twisted Fate,4,Nautilus,111,0
Twisted Fate,4,Viktor,112,0
Twisted Fate,4,Sejuani,113,0
Twisted Fate,4,Fiora,114,0
Twisted Fate,4,Ziggs,115,0
Twisted Fate,4,Lulu,117,0
Twisted Fate,4,Draven,119,0
Twisted Fate,4,Hecarim,120,0
Twisted Fate,4,Kha'Zix,121,0
Twisted Fate,4,Darius,122,0
Twisted Fate,4,Jayce,126,0
Twisted Fate,4,Lissandra,127,0
Twisted Fate,4,Diana,131,0
Twisted Fate,4,Quinn,133,0
Twisted Fate,4,Syndra,134,0
Twisted Fate,4,Aurelion Sol,136,0
Twisted Fate,4,Kayn,141,0
Twisted Fate,4,Zoe,142,0
Twisted Fate,4,Zyra,143,0
Twisted Fate,4,Kai'Sa,145,0
Twisted Fate,4,Seraphine,147,0
Twisted Fate,4,Gnar,150,0
Twisted Fate,4,Zac,154,0
Twisted Fate,4,Yasuo,157,0
Twisted Fate,4,Vel'Koz,161,0
Twisted Fate,4,Taliyah,163,0
Twisted Fate,4,Camille,164,0
Twisted Fate,4,Akshan,166,0
Twisted Fate,4,Bel'Veth,200,0
Twisted Fate,4,Braum,201,0
Twisted Fate,4,Jhin,202,0
Twisted Fate,4,Kindred,203,0
Twisted Fate,4,Zeri,221,0
Twisted Fate,4,Jinx,222,0
Twisted Fate,4,Tahm Kench,223,0
Twisted Fate,4,Viego,234,0
Twisted Fate,4,Senna,235,0
Twisted Fate,4,Lucian,236,0
Twisted Fate,4,Zed,238,0
Twisted Fate,4,Kled,240,0
Twisted Fate,4,Ekko,245,0
Twisted Fate,4,Qiyana,246,0
Twisted Fate,4,Vi,254,0
Twisted Fate,4,Aatrox,266,0
Twisted Fate,4,Nami,267,0
Twisted Fate,4,Azir,268,0
Twisted Fate,4,Yuumi,350,0
Twisted Fate,4,Samira,360,0
Twisted Fate,4,Thresh,412,0
Twisted Fate,4,Illaoi,420,0
Twisted Fate,4,Rek'Sai,421,0
Twisted Fate,4,Ivern,427,0
Twisted Fate,4,Kalista,429,0
Twisted Fate,4,Bard,432,0
Twisted Fate,4,Rakan,497,0
Twisted Fate,4,Xayah,498,0
Twisted Fate,4,Ornn,516,0
Twisted Fate,4,Sylas,517,0
Twisted Fate,4,Neeko,518,0
Twisted Fate,4,Aphelios,523,0
Twisted Fate,4,Rell,526,0
Twisted Fate,4,Pyke,555,0
Twisted Fate,4,Vex,711,0
Twisted Fate,4,Yone,777,0
Twisted Fate,4,Sett,875,0
Twisted Fate,4,Lillia,876,0
Twisted Fate,4,Gwen,887,0
Twisted Fate,4,Renata Glasc,888,0
Xin Zhao,5,Urgot,6,0
Xin Zhao,5,LeBlanc,7,0
Xin Zhao,5,Vladimir,8,0
Xin Zhao,5,Fiddlesticks,9,0
Xin Zhao,5,Kayle,10,0
Xin Zhao,5,Master Yi,11,0
Xin Zhao,5,Alistar,12,0
Xin Zhao,5,Ryze,13,0
Xin Zhao,5,Sion,14,0
Xin Zhao,5,Sivir,15,0
Xin Zhao,5,Soraka,16,0
Xin Zhao,5,Teemo,17,0
Xin Zhao,5,Tristana,18,0
Xin Zhao,5,Warwick,19,0
Xin Zhao,5,Nunu & Willump,20,0
Xin Zhao,5,Miss Fortune,21,0
Xin Zhao,5,Ashe,22,0
Xin Zhao,5,Tryndamere,23,0
Xin Zhao,5,Jax,24,0
